             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
          37750366      cron /global/  csamuel CG       0:19      1 login24
           9822957      cron ~/bin/is  stefanl CG       0:17      1 login39
          38038878      cron $HOME/es  essdive CG       0:20      1 login14
          35766697      cron /global/  simroux PD       0:00      1 (BeginTime)
          37985211      cron clean_pe  usatlas PD       0:00      1 (BeginTime)
          36602317      cron scron_co    cosmo PD       0:00      1 (BeginTime)
          37759824      cron /pscratc yvasquez PD       0:00      1 (BeginTime)
          38194182      cron monthly_     jaws PD       0:00      1 (BeginTime)
          38194205      cron monthly_   nmjaws PD       0:00      1 (BeginTime)
          38002032      cron workflow   archis PD       0:00      1 (BeginTime)
          37867665      cron /global/  qiangbq PD       0:00      1 (BeginTime)
          36758580      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          20549687      cron /bin/bas  qchen23 PD       0:00      1 (BeginTime)
          36595744      cron meta_atl   msdata PD       0:00      1 (BeginTime)
          36758579      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          36758578      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          36595730      cron jgi_emai   msdata PD       0:00      1 (BeginTime)
          36595731      cron egsb_ema   msdata PD       0:00      1 (BeginTime)
          37607960      cron /global/ theurich PD       0:00      1 (BeginTime)
          36758577      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          21407070      cron /global/     desc PD       0:00      1 (BeginTime)
          23535792      cron /global/ heatherk PD       0:00      1 (BeginTime)
          15003402      cron scrontab liuyangz PD       0:00      1 (BeginTime)
          37179389      cron ./xl-job rowlandk PD       0:00      1 (BeginTime)
          36758576      cron pushbuil hargrove PD       0:00      1 (BeginTime)
          38170191      cron /global/      img PD       0:00      1 (BeginTime)
          38038877      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          33343387      cron PAC_back pzdeploy PD       0:00      1 (BeginTime)
           9758342      cron  cleanup datadash PD       0:00      1 (BeginTime)
          36796172      cron /pscratc     sobs PD       0:00      1 (BeginTime)
           3368246      cron /global/  qc_user PD       0:00      1 (BeginTime)
          38044486      cron scron_ar     desi PD       0:00      1 (BeginTime)
          30383210      cron $HOME/bi    iabel PD       0:00      1 (BeginTime)
          32975014      cron /global/  zchusre PD       0:00      1 (BeginTime)
          36602318      cron scron_qu    cosmo PD       0:00      1 (BeginTime)
          38038873      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          38038876      cron $HOME/es  essdive PD       0:00      1 (BeginTime)
          38038881      cron   source  essdive PD       0:00      1 (BeginTime)
          38044497      cron scron_su     desi PD       0:00      1 (BeginTime)
          38193246      cron d3dsf-cl    d3dsf PD       0:00      1 (BeginTime)
          35202436      cron /usr/bin  kadidia PD       0:00      1 (BeginTime)
          38044487      cron scron_up     desi PD       0:00      1 (BeginTime)
          20563145      cron LPS_Trac  suhasdl PD       0:00      1 (BeginTime)
          35555022      cron /global/  marcelh PD       0:00      1 (BeginTime)
          37179388      cron ./sacct- rowlandk PD       0:00      1 (BeginTime)
          37967744      cron sacct-pi dmargala PD       0:00      1 (BeginTime)
          32308801      cron /global/  clively PD       0:00      1 (BeginTime)
          13039898      cron /pscratc   drshan PD       0:00      1 (BeginTime)
          24806912      cron /global/   jmdc25 PD       0:00      1 (BeginTime)
          26195702      cron /global/ dapeters PD       0:00      1 (BeginTime)
          35202437      cron /usr/bin  kadidia PD       0:00      1 (BeginTime)
          36796170      cron /pscratc     sobs PD       0:00      1 (BeginTime)
          37843684      cron quota_ch lgerhard PD       0:00      1 (BeginTime)
          37395397      cron /global/    zz217 PD       0:00      1 (BeginTime)
          36336331      cron /global/   dingpf PD       0:00      1 (BeginTime)
           3368245      cron /global/  qc_user PD       0:00      1 (BeginTime)
